"component_type","component_name","component_link","Inferred_","Manufacturer","Maximum_Supported_Memory","Mode","Model","Part_#_#","Version"
"Operating System","Microsoft Windows 11 Pro Retail - USB 64-bit","https://pcpartpicker.com/product/HxKKHx/microsoft-windows-11-pro-retail-usb-64-bit-hav-00162","","Microsoft","2048 GB","64-bit","Windows 11 Pro 64-bit (USB)","HAV-00162; HAV-00163","Windows 11 Pro"
"","Microsoft Windows 11 Home Retail - USB 64-bit","https://pcpartpicker.com/product/hMYmP6/microsoft-windows-11-home-retail-usb-64-bit-haj-00108","","Microsoft","128 GB","64-bit","Windows 11 Home 64-bit (USB)","HAJ-00108; HAJ-00090","Windows 11 Home"
"","Microsoft Windows 11 Home Retail - USB 64-bit","https://pcpartpicker.com/product/hMYmP6/microsoft-windows-11-home-retail-usb-64-bit-haj-00108","","Microsoft","128 GB","64-bit","Windows 11 Home 64-bit (USB)","HAJ-00108; HAJ-00090","Windows 11 Home"
"","Microsoft Windows 11 Pro Retail - Download 64-bit","https://pcpartpicker.com/product/VCTp99/microsoft-windows-11-pro-retail-download-64-bit-fqc-10572","","Microsoft","2048 GB","64-bit","Windows 11 Pro 64-bit (Download)","FQC-10572","Windows 11 Pro"
"","Microsoft Windows 10 Home OEM - DVD 64-bit","https://pcpartpicker.com/product/wtgPxr/microsoft-windows-10-home-oem-dvd-64-bit-kw9-00140","","Microsoft","128 GB","64-bit","Microsoft Windows 10 Home OEM (DVD)","KW9-00140","Windows 10 Home"
"","Microsoft Windows 11 Home OEM - DVD 64-bit","https://pcpartpicker.com/product/dKkWGX/microsoft-windows-11-home-oem-dvd-64-bit-kw9-00633","","Microsoft","128 GB","64-bit","Microsoft Windows 11 Home 64-bit - OEM (DVD)","KW9-00633; KW9-00632","Windows 11 Home"
"","Microsoft Windows 11 Pro Retail - Download 64-bit","https://pcpartpicker.com/product/VCTp99/microsoft-windows-11-pro-retail-download-64-bit-fqc-10572","","Microsoft","2048 GB","64-bit","Windows 11 Pro 64-bit (Download)","FQC-10572","Windows 11 Pro"
"","Microsoft Windows 11 Pro OEM - DVD 64-bit","https://pcpartpicker.com/product/yjbTwP/microsoft-windows-11-pro-oem-dvd-64-bit-fqc-10529","","Microsoft","2048 GB","64-bit","Microsoft Windows 11 Pro 64-bit - OEM (DVD)","FQC-10529; FQC-10528","Windows 11 Pro"
"","Microsoft Windows 11 Pro OEM - DVD 64-bit","https://pcpartpicker.com/product/yjbTwP/microsoft-windows-11-pro-oem-dvd-64-bit-fqc-10529","","Microsoft","2048 GB","64-bit","Microsoft Windows 11 Pro 64-bit - OEM (DVD)","FQC-10529; FQC-10528","Windows 11 Pro"
"","Microsoft Windows 11 Home Retail - USB 64-bit","https://pcpartpicker.com/product/hMYmP6/microsoft-windows-11-home-retail-usb-64-bit-haj-00108","","Microsoft","128 GB","64-bit","Windows 11 Home 64-bit (USB)","HAJ-00108; HAJ-00090","Windows 11 Home"
"","Microsoft Windows 11 Home Retail - USB 64-bit","https://pcpartpicker.com/product/hMYmP6/microsoft-windows-11-home-retail-usb-64-bit-haj-00108","","Microsoft","128 GB","64-bit","Windows 11 Home 64-bit (USB)","HAJ-00108; HAJ-00090","Windows 11 Home"
"","Microsoft Windows 11 Home Retail - USB 64-bit","https://pcpartpicker.com/product/hMYmP6/microsoft-windows-11-home-retail-usb-64-bit-haj-00108","","Microsoft","128 GB","64-bit","Windows 11 Home 64-bit (USB)","HAJ-00108; HAJ-00090","Windows 11 Home"
"","Microsoft Windows 11 Home Retail - USB 64-bit","https://pcpartpicker.com/product/hMYmP6/microsoft-windows-11-home-retail-usb-64-bit-haj-00108","","Microsoft","128 GB","64-bit","Windows 11 Home 64-bit (USB)","HAJ-00108; HAJ-00090","Windows 11 Home"
"","Microsoft Windows 11 Home Retail - USB 64-bit","https://pcpartpicker.com/product/hMYmP6/microsoft-windows-11-home-retail-usb-64-bit-haj-00108","","Microsoft","128 GB","64-bit","Windows 11 Home 64-bit (USB)","HAJ-00108; HAJ-00090","Windows 11 Home"
"","Microsoft Windows 11 Pro Retail - Download 64-bit","https://pcpartpicker.com/product/VCTp99/microsoft-windows-11-pro-retail-download-64-bit-fqc-10572","","Microsoft","2048 GB","64-bit","Windows 11 Pro 64-bit (Download)","FQC-10572","Windows 11 Pro"
"","Microsoft Windows 11 Pro OEM - DVD 64-bit","https://pcpartpicker.com/product/yjbTwP/microsoft-windows-11-pro-oem-dvd-64-bit-fqc-10529","","Microsoft","2048 GB","64-bit","Microsoft Windows 11 Pro 64-bit - OEM (DVD)","FQC-10529; FQC-10528","Windows 11 Pro"
"","Microsoft Windows 11 Home Retail - USB 64-bit","https://pcpartpicker.com/product/hMYmP6/microsoft-windows-11-home-retail-usb-64-bit-haj-00108","","Microsoft","128 GB","64-bit","Windows 11 Home 64-bit (USB)","HAJ-00108; HAJ-00090","Windows 11 Home"
"","Microsoft Windows 11 Pro Retail - Download 64-bit","https://pcpartpicker.com/product/VCTp99/microsoft-windows-11-pro-retail-download-64-bit-fqc-10572","","Microsoft","2048 GB","64-bit","Windows 11 Pro 64-bit (Download)","FQC-10572","Windows 11 Pro"
"","Microsoft Windows 11 Pro Retail - Download 64-bit","https://pcpartpicker.com/product/VCTp99/microsoft-windows-11-pro-retail-download-64-bit-fqc-10572","","Microsoft","2048 GB","64-bit","Windows 11 Pro 64-bit (Download)","FQC-10572","Windows 11 Pro"
"","Microsoft Windows 11 Home OEM - DVD 64-bit","https://pcpartpicker.com/product/dKkWGX/microsoft-windows-11-home-oem-dvd-64-bit-kw9-00633","","Microsoft","128 GB","64-bit","Microsoft Windows 11 Home 64-bit - OEM (DVD)","KW9-00633; KW9-00632","Windows 11 Home"
"","Microsoft Windows 10 Pro Retail - Download 32/64-bit","https://pcpartpicker.com/product/CYH48d/microsoft-windows-10-pro-retail-download-3264-bit-fqc-09131","","Microsoft","2048 GB","32/64-bit","Microsoft Windows 10 Pro (Download)","FQC-09131","Windows 10 Pro"
"","Microsoft Windows 10 Pro Retail - Download 32/64-bit","https://pcpartpicker.com/product/CYH48d/microsoft-windows-10-pro-retail-download-3264-bit-fqc-09131","","Microsoft","2048 GB","32/64-bit","Microsoft Windows 10 Pro (Download)","FQC-09131","Windows 10 Pro"
"","Microsoft Windows 10 Pro OEM - DVD 64-bit","https://pcpartpicker.com/product/MfH48d/microsoft-windows-10-pro-oem-dvd-64-bit-fqc-08930","","Microsoft","2048 GB","64-bit","Microsoft Windows 10 Pro OEM (DVD)","FQC-08930","Windows 10 Pro"
"","Microsoft Windows 10 Pro OEM - DVD 64-bit","https://pcpartpicker.com/product/MfH48d/microsoft-windows-10-pro-oem-dvd-64-bit-fqc-08930","","Microsoft","2048 GB","64-bit","Microsoft Windows 10 Pro OEM (DVD)","FQC-08930","Windows 10 Pro"
"","Microsoft Windows 10 Pro OEM - DVD 64-bit","https://pcpartpicker.com/product/MfH48d/microsoft-windows-10-pro-oem-dvd-64-bit-fqc-08930","","Microsoft","2048 GB","64-bit","Microsoft Windows 10 Pro OEM (DVD)","FQC-08930","Windows 10 Pro"
"","Microsoft Windows 11 Home Retail - Download 64-bit","https://pcpartpicker.com/product/7ZpzK8/microsoft-windows-11-home-retail-download-64-bit-kw9-00664","","Microsoft","128 GB","64-bit","Windows 11 Home 64-bit (Download)","KW9-00664","Windows 11 Home"
"","Microsoft Windows 10 Pro OEM - DVD 64-bit","https://pcpartpicker.com/product/MfH48d/microsoft-windows-10-pro-oem-dvd-64-bit-fqc-08930","","Microsoft","2048 GB","64-bit","Microsoft Windows 10 Pro OEM (DVD)","FQC-08930","Windows 10 Pro"
"","Microsoft Windows 10 Pro Retail - USB 32/64-bit","https://pcpartpicker.com/product/M9GnTW/microsoft-windows-10-pro-retail-usb-3264-bit-hav-00059","","Microsoft","2048 GB","32/64-bit","Microsoft Windows 10 Pro (USB)","HAV-00059","Windows 10 Pro"
